lon,lat
8.29868,44.37494
13.01098,46.40187
12.57639,43.35278
12.46806,43.06694
12.618611,45.957778
11.09194,43.87278
14.401,40.97971
13.61944,42.84861
9.698333,45.158611
9.164722,45.193889
10.664722,44.690833
9.496944,45.913056
7.5602,45.1758
10.33667,44.78833
11.24917,43.76528
11.09778,43.79306
11.65408,46.71492
16.24517,39.3134
10.016667,45.132778
10.55988,44.00555
17.96447,40.41852
8.75,45.61667
14.033333,41.478889
15.29873,40.47059
11.33997,46.49547
12.308056,45.890556
7.6259,45.0419
14.10361,41.77944
17.5125,40.64917
7.3549222,45.6102216
11.45389,46.05184
13.38306,42.36417
9.015278,39.443611
15.811729,40.62541
9.83028,44.82389
7.7782,45.1432
7.8375,45.0028
10.84449,45.89147
12.666389,42.743333
14.15079,41.16857
11.894315,42.268585
10.573889,43.840833
11.665833,45.226667
12.90944,43.34389
8.2055,44.9089
15.9548,40.315619
7.31563,45.74224
7.6782,45.0758
13.009668,41.725005
17.33194,40.70083
11.32833,44.49972
7.84355,45.63353
12.36611,43.10306
10.51222,43.84389
12.70778,42.95167
7.658,45.1546
11.94403,46.79735
10.313056,45.504722
10.771667,43.713056
11.14194,43.47278
9.27611,45.60222
11.10528,43.87472
16.07022,38.39986
11.07083,44.99694
14.23361,41.59722
11.355,44.48333
11.16163,46.662
9.485556,45.305278
9.661667,45.695687
11.23139,43.78583
11.11343,46.19684
9.6115435,45.62058256
8.5655,45.9303
14.83614,41.14691
9.15694,45.66083
12.557222,43.358333
12.52194,42.53417
11.11023,46.10434
12.71333,42.74472
13.830728,41.48846
9.27444,45.58111
14.77998,41.11575
8.3103,44.808
9.516389,45.542222
15.795198,40.649208
9.591389,45.518333
12.611667,43.273889
14.674722,41.554167
11.1262,46.06293
17.42389,40.53778
15.38667,41.63083
9.414722,45.329444
9.705,45.36722
7.30991,45.73081
9.23583,45.47833
8.28068,44.38241
7.7116,45.1763
7.5382,44.3818
13.22972,46.07083
10.624444,44.699722
10.288889,44.6575
8.6204,45.4397
11.961111,44.839722
7.4262,44.7197
11.649722,44.825
9.556389,45.4975
11.639444,44.662222
10.96389,45.44528
16.91972,40.95333
9.009444,45.000278
9.40619194,45.69795956
8.0564,45.5588
7.878,45.4512
15.900698,40.334862
15.52825,40.48701
10.06924181,45.10954275
9.61472,45.64389
10.803333,45.144444
9.71389,45.08199189
16.19397,39.71376
11.89056,45.43333
14.04722,41.48417
7.8146,44.4018
13.33667,42.90056
14.48133,40.92431
10.219444,45.515278
8.29011,44.36533
8.79417,39.54667
9.503333,45.528056
16.147441,40.620463
11.905833,46.030833
7.329645,45.730659
10.90633,44.65061
10.90473,44.63605
12.962063,42.572591
11.41639,44.47222
8.1975,44.8942
11.03778,45.59
14.78833,41.12333
8.845833,45.304444
11.27222,43.77306
7.34256,45.7373
7.30433,45.73444
14.663333,41.557778
7.6491,45.0249
8.2835,45.7132
15.867364,40.324234
8.7861,45.4097
12.65848,41.929474
8.94139,39.38333
9.940278,45.148333
12.510278,45.836944
12.95222,43.46806
7.32417,45.73583
12.65594,45.96262
9.466667,45.683333
14.78556,40.91417
13.225278,46.035
10.22361,45.54083
11.311389,45.183611
14.05111,37.489848
8.0333,44.7037
11.539722,45.560556
10.8189,44.54121
12.62361,42.58194
14.78553,40.91882
8.83449244,45.58288714
14.481163,41.484488
14.33122,41.07795
12.2161,45.65877
12.413195,42.301812
11.94,45.3775
9.34889,45.84083
11.72028,44.35556
10.50048,43.83281
13.149795,41.746893
8.773056,40.256389
12.53639,45.89861
11.643056,45.29
13.066667,46.220833
7.8431,44.7061
10.90528,43.94083
10.78194,45.16444
10.663889,44.873056
8.2015,44.39048
13.330917,41.624311
8.4151,45.3284
12.63639,43.73056
13.265568,41.687898
9.49528589,45.30278678
17.5875,40.5275
9.321667,40.320556
11.325,43.3378
7.69534,45.10407
8.8925,45.4675
12.056389,44.215
12.216944,46.141389
11.03941,45.89244
11.87056,44.28333
14.714509,36.926331
12.245833,43.456944
12.21833,45.49028
13.245,43.52694
9.69333,45.04889
7.76643,45.5966
11.90167,43.66028
8.73667,45.52583
10.881667,43.247778
11.61306,44.8425
13.338713,41.571594
12.65806,45.96222
8.20604,44.39703
10.69194,45.41083
12.37472,43.10444
12.109196,42.42212
12.71802,37.882476
16.3868,39.48963
14.82459,40.83555
9.0524,44.7633
9.195833,45.462778
14.34472,41.08444
8.6206,45.4383
12.50187,45.95089
11.00694,43.91611
11.299722,44.738333
12.65167,42.55222
9.32889,40.31889
9.88028,46.16861
12.65083,42.56
10.95804,46.08253
15.639965,40.9841
15.89143,40.288391
15.722746,41.067055
12.419722,42.551944
13.70944,42.65722
9.3275,45.482778
10.733889,44.516111
12.546944,43.3675
11.20444,45.05139
12.56611,42.80472
11.87667,43.4625
11.902222,45.600278
12.857794,42.404687
10.1775,45.873889
10.91222,45.4625
18.17361,40.16805
13.42861,43.285
9.55639,45.63306
11.521944,45.531944
14.281463,37.564125
12.360833,46.1625
11.2875,43.78667
10.926111,44.15
11.841944,45.371944
12.06194,45.04667
11.368611,45.714444
7.32189,45.7324
12.726623,41.995626
9.191389,45.495556
8.6197,45.4403
14.78938,41.13146
9.198056,45.469722
11.46694,43.62303
8.1598,45.6642
11.030096,45.43301
11.286111,44.5
7.6853,44.7043
15.796423,40.627877
8.1695,44.4122
11.28611,45.4
10.20083,45.655
10.33167,44.79361
11.873396,44.285612
8.28096,44.39951
8.4452,45.1361
14.09215,41.18529
7.32306,45.73306
10.795556,45.160556
12.9259,45.85693
14.838651,36.729474
14.297144,37.055867
14.284218,37.062217
14.261254,37.065105
14.253618,37.070349
15.208712,37.093973
15.131752,37.096276
14.395552,37.145943
15.190867,37.156119
15.128831,37.182374
15.2205,37.2184
13.551601,37.29924
13.589904,37.306413
13.593963,37.307047
15.075233,37.511594
15.010788,37.515714
15.097211,37.515808
15.081122,37.529257
15.101062,37.578669
13.687987,37.977911
13.11859,38.050162
13.34653,38.105096
13.350252,38.111034
13.302198,38.120539
13.329306,38.121681
13.354215,38.124382
13.346531,38.130696
15.275031,38.160495
15.546512,38.174341
15.271443,38.174624
15.301496,38.183005
15.552935,38.198256
15.310064,38.205556
16.23452,38.39092
16.08024,38.66458
16.09825,38.6758
16.60832,38.86898
16.66921,38.8705
16.57925,38.918288
16.29517,38.95955
17.11417,39.06808
16.23145,39.07497
17.12285,39.07973
8.45472,39.08056
8.521389,39.165556
8.43028,39.17722
17.01034,39.18752
8.386111,39.203333
8.386111,39.208611
8.39,39.208611
8.4325,39.224167
9.136389,39.260556
9.011389,39.286389
8.541389,39.311111
16.54677,39.65176
8.605278,39.885278
8.59778,39.89889
8.59472,39.90917
9.680556,39.929444
18.09507,40.34627
18.17667,40.35194
18.17306,40.36444
18.125,40.40333
18.02972,40.40444
17.28389,40.41194
17.84639,40.42333
18.11611,40.45889
17.26333,40.46055556
18.00556,40.48556
18.05361,40.48806
17.22583,40.48861
18.04722,40.48944
17.23306,40.49444
17.2536,40.52111
17.17361,40.52611
8.324722,40.553333
17.20333,40.5625
17.80833,40.56556
9.69444,40.575
17.11583,40.59194
14.97584,40.61107
17.97806,40.62028
17.95472,40.63139
17.94777,40.63416667
17.93833,40.63806
14.80449,40.66142
14.80833,40.66667
14.76972,40.68389
8.55139,40.71028
14.70244,40.71099
8.569167,40.716667
8.57611,40.72444
8.55361,40.72972
14.64345,40.7404
17.41583,40.74278
8.275278,40.809167
8.360278,40.815
16.56028,40.82778
8.405278,40.831389
8.393889,40.831944
14.27167,40.85361
14.25133,40.85419
14.25451,40.86369
14.34108,40.86427
14.27547,40.87234
14.34998,40.8864
